yr,mon,u_carrier,max,min,mean,count,prop,q25,q75
2003,5,AA,1252.0,0.0,0.0,71526,0.1535106115258787,0.0,6.0
2003,5,AS,335.0,0.0,0.0,11736,0.11622358554873892,0.0,3.0
2003,5,B6,379.0,0.0,0.0,5208,0.08525345622119816,0.0,2.0
2003,5,CO,601.0,0.0,0.0,35322,0.13623237642262612,0.0,5.0
2003,5,DH,399.0,0.0,0.0,12247,0.21319506817996245,0.0,10.0
2003,5,DL,441.0,0.0,0.0,62280,0.1556518946692357,0.0,7.0
2003,5,EV,810.0,0.0,0.0,23850,0.23735849056603772,0.0,13.0
2003,5,FL,467.0,0.0,0.0,14128,0.19974518686296716,0.0,12.0
2003,5,HP,521.0,0.0,0.0,23709,0.1415074444303851,0.0,6.0
2003,5,MQ,723.0,0.0,0.0,35073,0.14484076069911328,0.0,4.0
2003,5,NW,1309.0,0.0,0.0,49683,0.1414769639514522,0.0,6.0
2003,5,OO,542.0,0.0,0.0,30699,0.09593146356558846,0.0,3.0
2003,5,TZ,345.0,0.0,0.0,4101,0.17312850524262374,0.0,8.0
2003,5,UA,1024.0,0.0,0.0,62084,0.14037433155080214,0.0,5.0
2003,5,US,462.0,0.0,0.0,29129,0.18919290054584778,0.0,9.0
2003,5,WN,390.0,0.0,0.0,45893,0.08927287385875841,0.0,3.0
2003,5,XE,398.0,0.0,0.0,22767,0.1446830939517723,0.0,5.0
2003,6,AA,1230.0,0.0,0.0,70411,0.19339307778614137,0.0,9.0
2003,6,AS,416.0,0.0,0.0,12446,0.17427285874979914,0.0,8.0
2003,6,B6,339.0,0.0,0.0,5234,0.15322888803974016,0.0,6.0
2003,6,CO,846.0,0.0,0.0,35457,0.1841103308232507,0.0,8.0
2003,6,DH,426.0,0.0,0.0,12459,0.1887791957620997,0.0,8.0
2003,6,DL,586.0,0.0,0.0,64364,0.1811105586974085,0.0,10.0
2003,6,EV,1039.0,0.0,1.0,23064,0.2611862643080125,0.0,15.0
2003,6,FL,461.0,0.0,1.0,14733,0.22663408674404398,0.0,14.0
2003,6,HP,533.0,0.0,0.0,23221,0.14999354032987383,0.0,7.0
2003,6,MQ,732.0,0.0,0.0,34955,0.1767701330281791,0.0,7.0
2003,6,NW,1246.0,0.0,0.0,50755,0.16678159787213082,0.0,8.0
2003,6,OO,463.0,0.0,0.0,31813,0.09335806116996197,0.0,3.0
2003,6,TZ,400.0,0.0,0.0,4221,0.14475242833451787,0.0,6.0
2003,6,UA,1091.0,0.0,0.0,64114,0.1498112736687775,0.0,6.0
2003,6,US,429.0,0.0,0.0,29035,0.20950576889960393,0.0,11.0
2003,6,WN,314.0,0.0,0.0,45244,0.12982936964017328,0.0,5.0
2003,6,XE,418.0,0.0,0.0,22963,0.198362583286156,0.0,10.0
2003,7,AA,1143.0,0.0,0.0,73371,0.23954968584318054,0.0,14.0
2003,7,AS,355.0,0.0,0.0,13254,0.16900558322015996,0.0,8.0
2003,7,B6,412.0,0.0,0.0,5892,0.11693822131704006,0.0,3.0
2003,7,CO,635.0,0.0,0.0,36992,0.19393382352941177,0.0,10.0
2003,7,DH,525.0,0.0,0.0,11967,0.24509066599816162,0.0,14.0
2003,7,DL,679.0,0.0,0.0,65464,0.20351643651472565,0.0,11.0
2003,7,EV,902.0,0.0,4.0,22920,0.3243455497382199,0.0,22.0
2003,7,FL,472.0,0.0,3.0,15576,0.2710580380071905,0.0,19.0
2003,7,HP,572.0,0.0,0.0,23977,0.17641906827376236,0.0,8.0
2003,7,MQ,913.0,0.0,0.0,35560,0.20196850393700788,0.0,9.0
2003,7,NW,1114.0,0.0,0.0,52908,0.16817872533454298,0.0,7.0
2003,7,OO,386.0,0.0,0.0,33859,0.07909270799492012,0.0,2.0
2003,7,TZ,1121.0,0.0,0.0,4275,0.2222222222222222,0.0,11.0
2003,7,UA,920.0,0.0,0.0,67971,0.1792676288417119,0.0,7.0
2003,7,US,440.0,0.0,0.0,29218,0.2408104593059073,0.0,14.0
2003,7,WN,430.0,0.0,0.0,46497,0.15706389659547929,0.0,5.0
2003,7,XE,492.0,0.0,0.0,24078,0.2091951158734114,0.0,11.0
2003,8,AA,1258.0,0.0,0.0,72289,0.25070204318776024,0.0,15.0
2003,8,AS,630.0,0.0,0.0,13217,0.22221381554059166,0.0,12.0
2003,8,B6,823.0,0.0,0.0,5880,0.22414965986394558,0.0,12.0
2003,8,CO,715.0,0.0,0.0,36196,0.2010443142888717,0.0,10.0
2003,8,DH,547.0,0.0,0.0,11963,0.23405500292568754,0.0,13.0
2003,8,DL,591.0,0.0,1.0,66584,0.22229064039408866,0.0,12.0
2003,8,EV,501.0,0.0,2.0,21984,0.30071870451237265,0.0,19.0
2003,8,FL,586.0,0.0,6.0,15428,0.3177988073632357,0.0,24.0
2003,8,HP,672.0,0.0,0.0,23865,0.19182903834066625,0.0,10.0
2003,8,MQ,1228.0,0.0,0.0,35338,0.21217952345916577,0.0,10.0
2003,8,NW,1517.0,0.0,0.0,52484,0.17769224906638215,0.0,8.0
2003,8,OO,540.0,0.0,0.0,35084,0.09745182989396876,0.0,3.0
2003,8,TZ,1199.0,0.0,0.0,4272,0.18867041198501872,0.0,8.0
2003,8,UA,1445.0,0.0,0.0,67135,0.16916660460266628,0.0,7.0
2003,8,US,434.0,0.0,0.0,29051,0.2481842277374273,0.0,14.0
2003,8,WN,424.0,0.0,0.0,46507,0.14589201625561743,0.0,5.0
2003,8,XE,496.0,0.0,0.0,22965,0.21136512083605485,0.0,11.0
2003,9,AA,843.0,0.0,0.0,68679,0.1411348447123575,0.0,4.0
2003,9,AS,583.0,0.0,0.0,11588,0.11710390058681394,0.0,3.0
2003,9,B6,667.0,0.0,0.0,5414,0.07942371629109715,0.0,0.0
2003,9,CO,532.0,0.0,0.0,32711,0.21375072605545536,0.0,11.0
2003,9,DH,276.0,0.0,0.0,11917,0.1843584794830914,0.0,7.0
2003,9,DL,484.0,0.0,0.0,64043,0.13586184282435237,0.0,6.0
2003,9,EV,589.0,0.0,0.0,22323,0.1691976884827308,0.0,7.0
2003,9,FL,325.0,0.0,0.0,14649,0.1412383097822377,0.0,7.0
2003,9,HP,594.0,0.0,0.0,22612,0.1362993101008314,0.0,5.0
2003,9,MQ,821.0,0.0,0.0,34593,0.15763304714826698,0.0,5.0
2003,9,NW,1288.0,0.0,0.0,47392,0.131224679270763,0.0,5.0
2003,9,OO,444.0,0.0,0.0,34360,0.07066356228172294,0.0,1.0
2003,9,TZ,451.0,0.0,0.0,4096,0.1015625,0.0,0.0
2003,9,UA,1050.0,0.0,0.0,62787,0.1156608852150923,0.0,3.0
2003,9,US,327.0,0.0,0.0,27722,0.14447009595267296,0.0,5.0
2003,9,WN,250.0,0.0,0.0,45060,0.08371060807811806,0.0,0.0
2003,9,XE,479.0,0.0,0.0,22095,0.22819642453043676,0.0,12.0
2003,10,AA,1385.0,0.0,0.0,72065,0.11936446263789634,0.0,4.0
2003,10,AS,534.0,0.0,0.0,11669,0.1844202588053818,0.0,9.0
2003,10,B6,855.0,0.0,0.0,5734,0.08545517963027555,0.0,1.0
2003,10,CO,457.0,0.0,0.0,35341,0.11943634871678786,0.0,5.0
2003,10,DH,320.0,0.0,0.0,12545,0.17497010761259466,0.0,6.0
2003,10,DL,504.0,0.0,0.0,67772,0.14687481555804757,0.0,7.0
2003,10,EV,757.0,0.0,0.0,23873,0.16093494743015122,0.0,7.0
2003,10,FL,348.0,0.0,0.0,15562,0.1581416270402262,0.0,9.0
2003,10,HP,519.0,0.0,0.0,23120,0.15008650519031141,0.0,7.0
2003,10,MQ,745.0,0.0,0.0,36221,0.13472847243311892,0.0,4.0
2003,10,NW,1304.0,0.0,0.0,50734,0.12293530965427524,0.0,5.0
2003,10,OO,560.0,0.0,0.0,35388,0.09568215214196903,0.0,2.0
2003,10,TZ,366.0,0.0,0.0,4486,0.115916183682568,0.0,3.0
2003,10,UA,844.0,0.0,0.0,65929,0.12965462846395365,0.0,4.0
2003,10,US,339.0,0.0,0.0,30273,0.11584580319096224,0.0,5.0
2003,10,WN,485.0,0.0,0.0,47041,0.13099211326289834,0.0,5.0
2003,10,XE,466.0,0.0,0.0,23842,0.14847747672175154,0.0,7.0
2003,11,AA,1109.0,0.0,0.0,70507,0.22993461642106458,0.0,13.0
2003,11,AS,339.0,0.0,0.0,10988,0.22051328722242447,0.0,12.0
2003,11,B6,397.0,0.0,0.0,5748,0.11464857341684064,0.0,3.0
2003,11,CO,585.0,0.0,0.0,33580,0.21691483025610483,0.0,12.0
2003,11,DH,445.0,0.0,0.0,11146,0.3428135654046295,0.0,29.0
2003,11,DL,429.0,0.0,0.0,64674,0.1681974209110307,0.0,9.0
2003,11,EV,550.0,0.0,0.0,22840,0.15315236427320492,0.0,6.0
2003,11,FL,398.0,0.0,0.0,14747,0.17583237268597002,0.0,11.0
2003,11,HA,333.0,0.0,0.0,459,0.21350762527233116,0.0,11.0
2003,11,HP,579.0,0.0,0.0,22304,0.18624461979913917,0.0,9.0
2003,11,MQ,794.0,0.0,0.0,33906,0.2620480151005722,0.0,16.0
2003,11,NW,1310.0,0.0,0.0,47990,0.21225255261512815,0.0,11.0
2003,11,OO,470.0,0.0,0.0,34893,0.1402000401226607,0.0,6.0
2003,11,TZ,976.0,0.0,0.0,4431,0.2626946513202437,0.0,16.0
2003,11,UA,1195.0,0.0,0.0,62391,0.248000512894488,0.0,14.0
2003,11,US,358.0,0.0,0.0,28725,0.1384508268059182,0.0,5.0
2003,11,WN,350.0,0.0,0.0,44509,0.14289244871823675,0.0,5.0
2003,11,XE,586.0,0.0,1.0,22657,0.22522840623206955,0.0,12.0
2003,12,AA,1285.0,0.0,1.0,74223,0.25729221400374547,0.0,15.0
2003,12,AS,405.0,0.0,0.0,11608,0.2563749138525155,0.0,15.0
2003,12,B6,436.0,0.0,0.0,6331,0.19017532775232981,0.0,9.0
2003,12,CO,756.0,0.0,1.0,35377,0.23133674421234135,0.0,13.0
2003,12,DH,555.0,0.0,5.0,11599,0.3801189757737736,0.0,31.0
2003,12,DL,633.0,0.0,1.0,66777,0.23839046378244005,0.0,14.0
