yr,mon,arr_hour,delay_type,type_count
2010,3,3,Severe,6
2010,3,4,None,273
2010,3,4,Slight,51
2010,3,4,Moderate,26
2010,3,4,Severe,19
2010,3,5,None,2103
2010,3,5,Slight,695
2010,3,5,Moderate,223
2010,3,5,Severe,156
2010,3,6,None,4629
2010,3,6,Slight,1147
2010,3,6,Moderate,361
2010,3,6,Severe,266
2010,3,7,None,13921
2010,3,7,Slight,2270
2010,3,7,Moderate,533
2010,3,7,Severe,436
2010,3,8,None,20795
2010,3,8,Slight,3811
2010,3,8,Moderate,1068
2010,3,8,Severe,772
2010,3,9,None,24412
2010,3,9,Slight,5230
2010,3,9,Moderate,1530
2010,3,9,Severe,1072
2010,3,10,None,25676
2010,3,10,Slight,6515
2010,3,10,Moderate,2081
2010,3,10,Severe,1334
2010,3,11,None,23359
2010,3,11,Slight,6930
2010,3,11,Moderate,2432
2010,3,11,Severe,1609
2010,3,12,None,24116
2010,3,12,Slight,7106
2010,3,12,Moderate,2835
2010,3,12,Severe,1940
2010,3,13,None,22075
2010,3,13,Slight,7645
2010,3,13,Moderate,3141
2010,3,13,Severe,2150
2010,3,14,None,21393
2010,3,14,Slight,7722
2010,3,14,Moderate,3622
2010,3,14,Severe,2353
2010,3,15,None,19847
2010,3,15,Slight,7846
2010,3,15,Moderate,3677
2010,3,15,Severe,2675
2010,3,16,None,22101
2010,3,16,Slight,9132
2010,3,16,Moderate,4266
2010,3,16,Severe,3130
2010,3,17,None,19282
2010,3,17,Slight,8713
2010,3,17,Moderate,4379
2010,3,17,Severe,3395
2010,3,18,None,19876
2010,3,18,Slight,8349
2010,3,18,Moderate,4357
2010,3,18,Severe,3731
2010,3,19,None,18323
2010,3,19,Slight,8013
2010,3,19,Moderate,4489
2010,3,19,Severe,3880
2010,3,20,None,20026
2010,3,20,Slight,8487
2010,3,20,Moderate,4706
2010,3,20,Severe,4419
2010,3,21,None,16114
2010,3,21,Slight,6853
2010,3,21,Moderate,4262
2010,3,21,Severe,4004
2010,3,22,None,13687
2010,3,22,Slight,6238
2010,3,22,Moderate,3814
2010,3,22,Severe,3444
2010,3,23,None,10918
2010,3,23,Slight,4896
2010,3,23,Moderate,2788
2010,3,23,Severe,2366
2010,4,0,None,2387
2010,4,0,Slight,870
2010,4,0,Moderate,442
2010,4,0,Severe,332
2010,4,1,None,246
2010,4,1,Slight,107
2010,4,1,Moderate,50
2010,4,1,Severe,22
2010,4,2,None,39
2010,4,2,Slight,19
2010,4,2,Moderate,5
2010,4,2,Severe,1
2010,4,3,None,70
2010,4,3,Slight,12
2010,4,3,Moderate,15
2010,4,3,Severe,6
2010,4,4,None,151
2010,4,4,Slight,57
2010,4,4,Moderate,10
2010,4,4,Severe,9
2010,4,5,None,1834
2010,4,5,Slight,653
2010,4,5,Moderate,258
2010,4,5,Severe,126
2010,4,6,None,5162
2010,4,6,Slight,920
2010,4,6,Moderate,314
2010,4,6,Severe,195
2010,4,7,None,14745
2010,4,7,Slight,1714
2010,4,7,Moderate,398
2010,4,7,Severe,346
2010,4,8,None,21026
2010,4,8,Slight,3020
2010,4,8,Moderate,728
2010,4,8,Severe,501
2010,4,9,None,26470
2010,4,9,Slight,4344
2010,4,9,Moderate,1157
2010,4,9,Severe,804
2010,4,10,None,25953
2010,4,10,Slight,5201
2010,4,10,Moderate,1432
2010,4,10,Severe,873
2010,4,11,None,25709
2010,4,11,Slight,5802
2010,4,11,Moderate,1667
2010,4,11,Severe,1055
2010,4,12,None,25708
2010,4,12,Slight,6089
2010,4,12,Moderate,2023
2010,4,12,Severe,1317
2010,4,13,None,23225
2010,4,13,Slight,6531
2010,4,13,Moderate,2109
2010,4,13,Severe,1244
2010,4,14,None,24477
2010,4,14,Slight,6718
2010,4,14,Moderate,2503
2010,4,14,Severe,1551
2010,4,15,None,21874
2010,4,15,Slight,7031
2010,4,15,Moderate,2661
2010,4,15,Severe,1694
2010,4,16,None,24072
2010,4,16,Slight,8539
2010,4,16,Moderate,3364
2010,4,16,Severe,2061
2010,4,17,None,21766
2010,4,17,Slight,8066
2010,4,17,Moderate,3364
2010,4,17,Severe,2202
2010,4,18,None,21344
