yr,mon,dep_hour,delay_type,type_count
2010,3,3,Severe,7
2010,3,4,None,21
2010,3,4,Slight,17
2010,3,4,Moderate,4
2010,3,4,Severe,2
2010,3,5,None,4289
2010,3,5,Slight,1238
2010,3,5,Moderate,334
2010,3,5,Severe,133
2010,3,6,None,29283
2010,3,6,Slight,7400
2010,3,6,Moderate,2459
2010,3,6,Severe,1130
2010,3,7,None,26320
2010,3,7,Slight,8030
2010,3,7,Moderate,3475
2010,3,7,Severe,1386
2010,3,8,None,27109
2010,3,8,Slight,7582
2010,3,8,Moderate,3387
2010,3,8,Severe,1830
2010,3,9,None,23215
2010,3,9,Slight,6340
2010,3,9,Moderate,3248
2010,3,9,Severe,1722
2010,3,10,None,23007
2010,3,10,Slight,7291
2010,3,10,Moderate,3806
2010,3,10,Severe,2305
2010,3,11,None,23085
2010,3,11,Slight,7091
2010,3,11,Moderate,3774
2010,3,11,Severe,2461
2010,3,12,None,21507
2010,3,12,Slight,6771
2010,3,12,Moderate,3708
2010,3,12,Severe,2548
2010,3,13,None,22572
2010,3,13,Slight,7884
2010,3,13,Moderate,4347
2010,3,13,Severe,3075
2010,3,14,None,19557
2010,3,14,Slight,6689
2010,3,14,Moderate,3995
2010,3,14,Severe,2907
2010,3,15,None,20316
2010,3,15,Slight,6963
2010,3,15,Moderate,4184
2010,3,15,Severe,3318
2010,3,16,None,21041
2010,3,16,Slight,6830
2010,3,16,Moderate,4364
2010,3,16,Severe,3715
2010,3,17,None,21800
2010,3,17,Slight,7221
2010,3,17,Moderate,4565
2010,3,17,Severe,4103
2010,3,18,None,19518
2010,3,18,Slight,6239
2010,3,18,Moderate,4161
2010,3,18,Severe,3912
2010,3,19,None,18325
2010,3,19,Slight,6114
2010,3,19,Moderate,4063
2010,3,19,Severe,3734
2010,3,20,None,10867
2010,3,20,Slight,3972
2010,3,20,Moderate,2763
2010,3,20,Severe,2591
2010,3,21,None,10202
2010,3,21,Slight,3441
2010,3,21,Moderate,2278
2010,3,21,Severe,1796
2010,3,22,None,4356
2010,3,22,Slight,1801
2010,3,22,Moderate,1189
2010,3,22,Severe,703
2010,3,23,None,1470
2010,3,23,Slight,752
2010,3,23,Moderate,457
2010,3,23,Severe,204
2010,4,0,None,729
2010,4,0,Slight,199
2010,4,0,Moderate,72
2010,4,0,Severe,37
2010,4,1,None,304
2010,4,1,Slight,80
2010,4,1,Moderate,27
2010,4,1,Severe,7
2010,4,2,None,55
2010,4,2,Slight,22
2010,4,2,Moderate,9
2010,4,2,Severe,2
2010,4,3,None,25
2010,4,3,Slight,4
2010,4,3,Moderate,0
2010,4,3,Severe,1
2010,4,4,None,16
2010,4,4,Slight,12
2010,4,4,Moderate,2
2010,4,4,Severe,0
2010,4,5,None,3599
2010,4,5,Slight,763
2010,4,5,Moderate,191
2010,4,5,Severe,74
2010,4,6,None,29915
2010,4,6,Slight,6944
2010,4,6,Moderate,1695
2010,4,6,Severe,739
2010,4,7,None,28496
2010,4,7,Slight,7465
2010,4,7,Moderate,2299
2010,4,7,Severe,914
2010,4,8,None,28615
2010,4,8,Slight,7516
2010,4,8,Moderate,2599
2010,4,8,Severe,1043
2010,4,9,None,23178
2010,4,9,Slight,5890
2010,4,9,Moderate,2105
2010,4,9,Severe,1021
2010,4,10,None,26148
2010,4,10,Slight,6839
2010,4,10,Moderate,2575
2010,4,10,Severe,1362
2010,4,11,None,24363
2010,4,11,Slight,6629
2010,4,11,Moderate,2676
2010,4,11,Severe,1388
2010,4,12,None,23394
2010,4,12,Slight,6351
2010,4,12,Moderate,2844
2010,4,12,Severe,1537
2010,4,13,None,24939
2010,4,13,Slight,7049
2010,4,13,Moderate,3260
2010,4,13,Severe,2032
2010,4,14,None,21099
2010,4,14,Slight,6363
2010,4,14,Moderate,3031
2010,4,14,Severe,1933
2010,4,15,None,22125
2010,4,15,Slight,6866
2010,4,15,Moderate,3643
