yr,mon,arr_hour,delay_type,type_count
2010,3,3,Moderate,8
2010,3,3,Severe,7
2010,3,4,None,269
2010,3,4,Slight,58
2010,3,4,Moderate,24
2010,3,4,Severe,18
2010,3,5,None,1958
2010,3,5,Slight,661
2010,3,5,Moderate,370
2010,3,5,Severe,188
2010,3,6,None,3828
2010,3,6,Slight,1547
2010,3,6,Moderate,696
2010,3,6,Severe,332
2010,3,7,None,12561
2010,3,7,Slight,3108
2010,3,7,Moderate,994
2010,3,7,Severe,497
2010,3,8,None,19078
2010,3,8,Slight,4606
2010,3,8,Moderate,1880
2010,3,8,Severe,882
2010,3,9,None,22806
2010,3,9,Slight,5967
2010,3,9,Moderate,2260
2010,3,9,Severe,1211
2010,3,10,None,24436
2010,3,10,Slight,6789
2010,3,10,Moderate,2929
2010,3,10,Severe,1452
2010,3,11,None,23280
2010,3,11,Slight,6320
2010,3,11,Moderate,3075
2010,3,11,Severe,1655
2010,3,12,None,24235
2010,3,12,Slight,6508
2010,3,12,Moderate,3249
2010,3,12,Severe,2005
2010,3,13,None,22529
2010,3,13,Slight,6838
2010,3,13,Moderate,3450
2010,3,13,Severe,2194
2010,3,14,None,21777
2010,3,14,Slight,7007
2010,3,14,Moderate,3852
2010,3,14,Severe,2454
2010,3,15,None,20125
2010,3,15,Slight,7223
2010,3,15,Moderate,4016
2010,3,15,Severe,2681
2010,3,16,None,22668
2010,3,16,Slight,8162
2010,3,16,Moderate,4614
2010,3,16,Severe,3185
2010,3,17,None,20621
2010,3,17,Slight,7281
2010,3,17,Moderate,4455
2010,3,17,Severe,3412
2010,3,18,None,20992
2010,3,18,Slight,7253
2010,3,18,Moderate,4366
2010,3,18,Severe,3702
2010,3,19,None,19464
2010,3,19,Slight,6828
2010,3,19,Moderate,4564
2010,3,19,Severe,3849
2010,3,20,None,21598
2010,3,20,Slight,7119
2010,3,20,Moderate,4687
2010,3,20,Severe,4234
2010,3,21,None,17534
2010,3,21,Slight,5970
2010,3,21,Moderate,3957
2010,3,21,Severe,3772
2010,3,22,None,14974
2010,3,22,Slight,5351
2010,3,22,Moderate,3635
2010,3,22,Severe,3223
2010,3,23,None,11504
2010,3,23,Slight,4349
2010,3,23,Moderate,2942
2010,3,23,Severe,2173
2010,4,0,None,2767
2010,4,0,Slight,601
2010,4,0,Moderate,380
2010,4,0,Severe,283
2010,4,1,None,313
2010,4,1,Slight,68
2010,4,1,Moderate,26
2010,4,1,Severe,18
2010,4,2,None,45
2010,4,2,Slight,11
2010,4,2,Moderate,7
2010,4,2,Severe,1
2010,4,3,None,79
2010,4,3,Slight,11
2010,4,3,Moderate,9
2010,4,3,Severe,4
2010,4,4,None,180
2010,4,4,Slight,31
2010,4,4,Moderate,10
2010,4,4,Severe,6
2010,4,5,None,2009
2010,4,5,Slight,508
2010,4,5,Moderate,248
2010,4,5,Severe,106
2010,4,6,None,4843
2010,4,6,Slight,1176
2010,4,6,Moderate,374
2010,4,6,Severe,198
2010,4,7,None,13114
2010,4,7,Slight,3018
2010,4,7,Moderate,709
2010,4,7,Severe,362
2010,4,8,None,18954
2010,4,8,Slight,4452
2010,4,8,Moderate,1316
2010,4,8,Severe,553
2010,4,9,None,23657
2010,4,9,Slight,6351
2010,4,9,Moderate,1940
2010,4,9,Severe,827
2010,4,10,None,24338
2010,4,10,Slight,6202
2010,4,10,Moderate,2059
2010,4,10,Severe,860
2010,4,11,None,24696
2010,4,11,Slight,6321
2010,4,11,Moderate,2215
2010,4,11,Severe,1001
2010,4,12,None,25304
2010,4,12,Slight,6306
2010,4,12,Moderate,2236
2010,4,12,Severe,1291
2010,4,13,None,23239
2010,4,13,Slight,6142
2010,4,13,Moderate,2500
2010,4,13,Severe,1228
2010,4,14,None,24131
2010,4,14,Slight,6639
2010,4,14,Moderate,2860
2010,4,14,Severe,1619
2010,4,15,None,22328
2010,4,15,Slight,6336
2010,4,15,Moderate,2859
2010,4,15,Severe,1737
2010,4,16,None,24765
2010,4,16,Slight,7577
2010,4,16,Moderate,3667
2010,4,16,Severe,2027
2010,4,17,None,22587
2010,4,17,Slight,7052
2010,4,17,Moderate,3564
2010,4,17,Severe,2195
2010,4,18,None,21870
2010,4,18,Slight,6899
2010,4,18,Moderate,3625
2010,4,18,Severe,2587
2010,4,19,None,21454
2010,4,19,Slight,6868
2010,4,19,Moderate,3839
2010,4,19,Severe,2610
2010,4,20,None,22337
2010,4,20,Slight,7115
2010,4,20,Moderate,4249
2010,4,20,Severe,2944
2010,4,21,None,18430
2010,4,21,Slight,5437
2010,4,21,Moderate,3271
2010,4,21,Severe,2375
2010,4,22,None,16490
2010,4,22,Slight,5034
2010,4,22,Moderate,3089
2010,4,22,Severe,2118
2010,4,23,None,12120
2010,4,23,Slight,3741
2010,4,23,Moderate,2204
2010,4,23,Severe,1331
2010,5,0,None,2306
2010,5,0,Slight,623
2010,5,0,Moderate,442
2010,5,0,Severe,448
2010,5,1,None,315
2010,5,1,Slight,70
2010,5,1,Moderate,27
2010,5,1,Severe,31
2010,5,2,None,55
2010,5,2,Slight,13
2010,5,2,Moderate,5
2010,5,2,Severe,5
2010,5,3,None,46
2010,5,3,Slight,10
2010,5,3,Moderate,3
2010,5,3,Severe,5
2010,5,4,None,206
2010,5,4,Slight,30
2010,5,4,Moderate,6
2010,5,4,Severe,7
2010,5,5,None,2013
2010,5,5,Slight,520
2010,5,5,Moderate,284
2010,5,5,Severe,158
2010,5,6,None,4977
2010,5,6,Slight,1283
2010,5,6,Moderate,531
2010,5,6,Severe,289
2010,5,7,None,12708
2010,5,7,Slight,3345
2010,5,7,Moderate,940
2010,5,7,Severe,540
2010,5,8,None,17833
2010,5,8,Slight,4631
2010,5,8,Moderate,1548
2010,5,8,Severe,836
2010,5,9,None,23296
2010,5,9,Slight,6762
2010,5,9,Moderate,2481
2010,5,9,Severe,1236
2010,5,10,None,23464
2010,5,10,Slight,7161
2010,5,10,Moderate,2723
2010,5,10,Severe,1431
2010,5,11,None,23500
2010,5,11,Slight,6739
2010,5,11,Moderate,2966
2010,5,11,Severe,1633
2010,5,12,None,24021
2010,5,12,Slight,7280
2010,5,12,Moderate,3313
2010,5,12,Severe,1940
2010,5,13,None,21702
2010,5,13,Slight,6760
2010,5,13,Moderate,3400
2010,5,13,Severe,1897
2010,5,14,None,22393
2010,5,14,Slight,7653
2010,5,14,Moderate,3891
2010,5,14,Severe,2351
2010,5,15,None,19941
2010,5,15,Slight,7358
2010,5,15,Moderate,3800
2010,5,15,Severe,2711
2010,5,16,None,22011
2010,5,16,Slight,8700
2010,5,16,Moderate,4768
2010,5,16,Severe,3237
2010,5,17,None,20759
2010,5,17,Slight,7663
2010,5,17,Moderate,4597
2010,5,17,Severe,3588
2010,5,18,None,19118
2010,5,18,Slight,7471
2010,5,18,Moderate,4896
2010,5,18,Severe,4163
2010,5,19,None,18641
2010,5,19,Slight,7393
2010,5,19,Moderate,4722
2010,5,19,Severe,4091
2010,5,20,None,19661
2010,5,20,Slight,7560
