yr,mon,u_carrier,delay_type,type_count
2010,3,9E,None,11361
2010,3,9E,Slight,2258
2010,3,9E,Moderate,1075
2010,3,9E,Severe,898
2010,3,AA,None,36374
2010,3,AA,Slight,11277
2010,3,AA,Moderate,6428
2010,3,AA,Severe,5894
2010,3,AS,None,7778
2010,3,AS,Slight,1841
2010,3,AS,Moderate,634
2010,3,AS,Severe,387
2010,3,B6,None,9799
2010,3,B6,Slight,4183
2010,3,B6,Moderate,2470
2010,3,B6,Severe,2404
2010,3,CO,None,12793
2010,3,CO,Slight,10431
2010,3,CO,Moderate,3451
2010,3,CO,Severe,2022
2010,3,DH,None,0
2010,3,DH,Slight,0
2010,3,DH,Moderate,0
2010,3,DH,Severe,0
2010,3,DL,None,48098
2010,3,DL,Slight,19551
2010,3,DL,Moderate,8229
2010,3,DL,Severe,5792
2010,3,EV,None,16584
2010,3,EV,Slight,3627
2010,3,EV,Moderate,2138
2010,3,EV,Severe,2520
2010,3,F9,None,5553
2010,3,F9,Slight,2346
2010,3,F9,Moderate,1010
2010,3,F9,Severe,735
2010,3,FL,None,15144
2010,3,FL,Slight,3860
2010,3,FL,Moderate,2177
2010,3,FL,Severe,2116
2010,3,HA,None,307
2010,3,HA,Slight,139
2010,3,HA,Moderate,48
2010,3,HA,Severe,34
2010,3,HP,None,0
2010,3,HP,Slight,0
2010,3,HP,Moderate,0
2010,3,HP,Severe,0
2010,3,KH,None,0
2010,3,KH,Slight,0
2010,3,KH,Moderate,0
2010,3,KH,Severe,0
2010,3,MQ,None,24296
2010,3,MQ,Slight,5993
2010,3,MQ,Moderate,3262
2010,3,MQ,Severe,2617
2010,3,NW,None,0
2010,3,NW,Slight,0
2010,3,NW,Moderate,0
2010,3,NW,Severe,0
2010,3,OH,None,7409
2010,3,OH,Slight,660
2010,3,OH,Moderate,1032
2010,3,OH,Severe,960
2010,3,OO,None,36162
2010,3,OO,Slight,8840
2010,3,OO,Moderate,3752
2010,3,OO,Severe,3383
2010,3,TZ,None,0
2010,3,TZ,Slight,0
2010,3,TZ,Moderate,0
2010,3,TZ,Severe,0
2010,3,UA,None,29477
2010,3,UA,Slight,6703
2010,3,UA,Moderate,3045
2010,3,UA,Severe,3068
2010,3,US,None,28107
2010,3,US,Slight,7724
2010,3,US,Moderate,2851
2010,3,US,Severe,2029
2010,3,VX,None,0
