yr,mon,dep_hour,delay_type,type_count
2010,3,3,Severe,8
2010,3,4,None,26
2010,3,4,Slight,13
2010,3,4,Moderate,5
2010,3,4,Severe,0
2010,3,5,None,4813
2010,3,5,Slight,876
2010,3,5,Moderate,186
2010,3,5,Severe,119
2010,3,6,None,32116
2010,3,6,Slight,5911
2010,3,6,Moderate,1290
2010,3,6,Severe,955
2010,3,7,None,29269
2010,3,7,Slight,6882
2010,3,7,Moderate,1838
2010,3,7,Severe,1222
2010,3,8,None,28664
2010,3,8,Slight,7310
2010,3,8,Moderate,2249
2010,3,8,Severe,1685
2010,3,9,None,23116
2010,3,9,Slight,7189
2010,3,9,Moderate,2564
2010,3,9,Severe,1656
2010,3,10,None,23026
2010,3,10,Slight,7896
2010,3,10,Moderate,3335
2010,3,10,Severe,2152
2010,3,11,None,22868
2010,3,11,Slight,7793
2010,3,11,Moderate,3453
2010,3,11,Severe,2297
2010,3,12,None,20844
2010,3,12,Slight,7635
2010,3,12,Moderate,3553
2010,3,12,Severe,2502
2010,3,13,None,22354
2010,3,13,Slight,8491
2010,3,13,Moderate,4023
2010,3,13,Severe,3010
2010,3,14,None,18294
2010,3,14,Slight,7898
2010,3,14,Moderate,3944
2010,3,14,Severe,3012
2010,3,15,None,19015
2010,3,15,Slight,8195
2010,3,15,Moderate,4255
2010,3,15,Severe,3316
2010,3,16,None,19169
2010,3,16,Slight,8314
2010,3,16,Moderate,4666
2010,3,16,Severe,3801
2010,3,17,None,19876
2010,3,17,Slight,8718
2010,3,17,Moderate,4811
2010,3,17,Severe,4284
2010,3,18,None,17853
2010,3,18,Slight,7492
2010,3,18,Moderate,4432
2010,3,18,Severe,4053
2010,3,19,None,16507
2010,3,19,Slight,7291
2010,3,19,Moderate,4427
2010,3,19,Severe,4011
2010,3,20,None,10143
2010,3,20,Slight,4361
2010,3,20,Moderate,2877
2010,3,20,Severe,2812
2010,3,21,None,9848
2010,3,21,Slight,3781
2010,3,21,Moderate,2146
2010,3,21,Severe,1942
2010,3,22,None,4772
2010,3,22,Slight,1769
