yr,mon,u_carrier,delay_type,type_count
2010,3,9E,None,10799
2010,3,9E,Slight,2553
2010,3,9E,Moderate,1369
2010,3,9E,Severe,871
2010,3,AA,None,35796
2010,3,AA,Slight,11147
2010,3,AA,Moderate,7169
2010,3,AA,Severe,5861
2010,3,AS,None,7336
2010,3,AS,Slight,2097
2010,3,AS,Moderate,809
2010,3,AS,Severe,398
2010,3,B6,None,10693
2010,3,B6,Slight,3292
2010,3,B6,Moderate,2525
2010,3,B6,Severe,2346
2010,3,CO,None,15226
2010,3,CO,Slight,7267
2010,3,CO,Moderate,4146
2010,3,CO,Severe,2058
2010,3,DH,None,0
2010,3,DH,Slight,0
2010,3,DH,Moderate,0
2010,3,DH,Severe,0
2010,3,DL,None,51361
2010,3,DL,Slight,15799
2010,3,DL,Moderate,8801
2010,3,DL,Severe,5709
2010,3,EV,None,15932
2010,3,EV,Slight,4088
2010,3,EV,Moderate,2317
2010,3,EV,Severe,2532
2010,3,F9,None,5441
2010,3,F9,Slight,2338
2010,3,F9,Moderate,1101
2010,3,F9,Severe,764
2010,3,FL,None,14015
2010,3,FL,Slight,4506
2010,3,FL,Moderate,2522
2010,3,FL,Severe,2254
2010,3,HA,None,219
2010,3,HA,Slight,141
2010,3,HA,Moderate,129
2010,3,HA,Severe,39
2010,3,HP,None,0
2010,3,HP,Slight,0
2010,3,HP,Moderate,0
2010,3,HP,Severe,0
2010,3,KH,None,0
2010,3,KH,Slight,0
2010,3,KH,Moderate,0
2010,3,KH,Severe,0
2010,3,MQ,None,22577
2010,3,MQ,Slight,7013
2010,3,MQ,Moderate,3642
2010,3,MQ,Severe,2936
2010,3,NW,None,0
2010,3,NW,Slight,0
2010,3,NW,Moderate,0
2010,3,NW,Severe,0
2010,3,OH,None,6357
2010,3,OH,Slight,1631
2010,3,OH,Moderate,1130
2010,3,OH,Severe,943
2010,3,OO,None,33949
2010,3,OO,Slight,10404
2010,3,OO,Moderate,4289
2010,3,OO,Severe,3495
2010,3,TZ,None,0
2010,3,TZ,Slight,0
2010,3,TZ,Moderate,0
2010,3,TZ,Severe,0
2010,3,UA,None,30310
2010,3,UA,Slight,5816
2010,3,UA,Moderate,3293
2010,3,UA,Severe,2874
2010,3,US,None,25191
2010,3,US,Slight,8759
2010,3,US,Moderate,4474
2010,3,US,Severe,2287
2010,3,VX,None,0
2010,3,VX,Slight,0
2010,3,VX,Moderate,0
2010,3,VX,Severe,0
2010,3,WN,None,37722
2010,3,WN,Slight,13106
2010,3,WN,Moderate,7713
2010,3,WN,Severe,4026
2010,3,XE,None,15673
2010,3,XE,Slight,7580
2010,3,XE,Moderate,4104
2010,3,XE,Severe,3297
2010,3,YV,None,10309
2010,3,YV,Slight,2474
2010,3,YV,Moderate,1175
2010,3,YV,Severe,998
2010,4,9E,None,11120
2010,4,9E,Slight,2772
2010,4,9E,Moderate,1311
2010,4,9E,Severe,733
2010,4,AA,None,38571
2010,4,AA,Slight,10016
2010,4,AA,Moderate,4934
2010,4,AA,Severe,3815
2010,4,AS,None,7851
2010,4,AS,Slight,1755
2010,4,AS,Moderate,521
2010,4,AS,Severe,275
2010,4,B6,None,13290
2010,4,B6,Slight,2592
2010,4,B6,Moderate,1515
2010,4,B6,Severe,1006
2010,4,CO,None,16825
2010,4,CO,Slight,7026
2010,4,CO,Moderate,2795
2010,4,CO,Severe,937
2010,4,DH,None,0
2010,4,DH,Slight,0
